iords,mass,x,y,z,vx,vy,vz,rho,temp,metals
216642,145690.51,6.02,8.27,-0.53,-173.79,65.71,28.30,7.30,4.02,-1.59
217287,100491.69,8.15,6.36,0.00,-149.25,142.56,-12.83,6.78,4.05,-1.56
217392,100021.98,5.03,8.69,0.08,-182.97,69.18,-6.00,7.15,4.03,-1.53
220592,190662.98,3.53,11.22,-1.20,-140.51,18.20,-22.96,6.04,4.08,-1.49
224714,134137.99,-6.86,-9.51,-1.47,137.51,-130.73,-4.63,5.74,4.10,-1.76
227207,212084.13,-112.11,34.39,206.60,106.31,-59.78,-77.29,2.42,4.97,-4.84
228220,152287.09,-8.01,-8.82,0.47,127.71,-135.75,-31.78,6.78,4.04,-1.58
228275,104363.72,2.86,10.86,0.76,-216.61,14.70,-27.39,6.64,4.08,-1.62
228674,214623.58,0.82,10.45,1.30,-177.91,-0.30,-12.66,6.08,4.09,-1.70
229051,177829.01,1.29,10.20,-2.06,-161.73,49.47,13.21,6.79,4.07,-1.48
230103,82646.95,4.54,10.18,1.58,-86.27,57.83,-1.29,6.01,4.08,-1.52
231426,212084.13,-135.37,122.44,110.45,112.28,-102.77,-70.56,2.65,4.69,-5.18
231463,212084.13,-88.73,88.18,184.09,71.83,-94.38,-72.86,2.74,4.97,-4.77
232105,217723.48,-242.91,-2.63,-99.40,54.43,-19.62,29.65,2.44,4.97,-2.40
232137,77536.95,1.71,10.19,0.23,-222.82,25.74,0.76,7.43,4.04,-1.53
233975,196797.70,7.86,6.55,0.50,-139.92,145.49,7.11,6.97,4.03,-1.61
